,question,answer
1288,Why are companies willing to pay a high yield on junk bonds?,Companies are willing to pay a high yield on junk bonds because they need to attract investors to fund their operations.
1289,Why do some investors buy junk bonds?,"Some investors buy junk bonds to profit from potential price increases as the financial security of the underlying company improves, and not necessarily for the return of interest income."
1290,Why do investors predict bond prices to rise?,Investors predict bond prices to rise when they are betting there will be increased buying interest for high-yield bonds due to a change in market risk sentiment.
1291,What does increased buying interest of junk bonds indicate for some investors?,"Increased buying interest of junk bonds serves as a market-risk indicator for some investors, indicating that market participants are willing to take on more risk due to a perceived improving economy."
1292,What does it usually mean when junk bonds are selling off with prices falling?,"When junk bonds are selling off with prices falling, it usually means that investors are more risk averse and are opting for more secure and stable investments."
1293,What does a surge in junk bond investing usually translate to in the market?,A surge in junk bond investing usually translates to increased optimism in the market.
1294,What is important to note about junk bonds?,It's important to note that junk bonds have much larger price swings than bonds of higher quality.
1295,How can investors purchase junk bonds?,Investors looking to purchase junk bonds can either buy the bonds individually through a broker or invest in a junk bond fund managed by a professional portfolio manager.
1296,How do improved financials affect junk bonds?,"If the underlying company performs well financially, its bonds will have improved credit ratings and usually attract buying interest from investors. The bond's price rises as investors flood in, willing to pay for the financially viable issuer."
1297,What happens to bond prices when investors show interest in financially stable companies?,"The bond's price rises as investors flood in, willing to pay for the financially viable issuer, which results in improved credit ratings for the bond."
1298,What is the impact of poor credit ratings on bond prices?,"Companies that are performing poorly will likely have low or lowered credit ratings, causing buyers to back off. Companies with poor credit ratings typically offer high yields to attract investors and to compensate them for the added level of risk."
1299,Why do bonds issued by companies with positive credit ratings usually pay lower interest rates?,Bonds issued by companies with positive credit ratings usually pay lower interest rates on their debt instruments as compared to companies with poor credit ratings because they are seen as less risky investments.
1300,Do bond investors pay attention to credit ratings?,"Yes, many bond investors monitor the credit ratings of bonds."
1301,What is a credit rating?,A credit rating is an evaluation of the creditworthiness of an issuer and its outstanding debt in the form of bonds.
1302,How can investors monitor a bond's level of risk?,Investors can monitor a bond's level of risk by reviewing the bond's credit rating.
1303,What impact does a bond's credit rating have on its market price and offering interest rate?,A bond's credit rating impacts its market price and offering interest rate.
1304,What is the credit rating scale used by Standard & Poor's?,Standard & Poor's has a credit rating scale ranging from AAA—excellent—to lower ratings of C and D.
1305,What is a junk bond?,A junk bond is a bond that carries a rating lower than BB and is considered speculative-grade.
1306,Why should risk-averse investors be cautious of junk bonds?,Risk-averse investors should be cautious of junk bonds because they are considered risky investments and have a higher likelihood of default.
1307,What are the letter grades from credit agencies used for?,The letter grades from credit agencies represent the financial viability of the company and the likelihood that the contract terms of the bond terms will be honored.
1308,What are investment-grade bonds?,Investment-grade bonds come from corporations that have a high probability of paying the regular coupons and returning the principal to investors.
1309,What happens to a bond's price if a company's financial situation improves and its bond's credit rating is upgraded?,"If a company's financial situation improves and its bond's credit rating is upgraded, a substantial appreciation in the bond's price could happen."
1310,What should investors in junk debt do before buying?,Investors in junk debt should fully investigate the underlying business and all financial documents available before buying.
1311,What is considered a bond default?,"If a bond fails to make a principal and interest payment, it is considered to be in default."
1312,What is the definition of default?,"Default is the failure to repay a debt, including interest or principal, on a loan or security."
1313,Why do junk bonds have a higher risk of default?,Junk bonds have a higher risk of default because of an uncertain revenue stream or a lack of sufficient collateral.
1314,When do the risks of bond defaults increase?,"The risks of bond defaults increase during economic downturns, making even bottom-level debts riskier."
1315,What is a callable bond?,A callable bond is a debt security that can be redeemed early by the issuer before its maturity at the issuer's discretion.
1316,Why do companies choose to call their bonds?,"Companies may choose to call their bonds if market interest rates move lower, which will allow them to re-borrow at a more beneficial rate."
1317,How do callable bonds compensate investors?,Callable bonds compensate investors for the potential early redemption by offering a more attractive interest rate or coupon rate due to their callable nature.
1318,Who benefits from a callable bond?,The issuer of a callable bond benefits by being able to pay off their debt early and benefit from favorable interest rate drops.
1319,What is a callable bond?,A callable bond is a debt instrument in which the issuer reserves the right to return the investor's principal and stop interest payments before the bond's maturity date.
1320,Why do corporations issue callable bonds?,"Corporations may issue callable bonds to fund expansion or to pay off other loans. If they expect market interest rates to fall, they may issue the bond as callable, allowing them to make an early redemption and secure other financings at a lowered rate."
1321,What does the bond's offering specify about callable bonds?,The bond's offering will specify the terms of when the company may recall the note.
1322,What is the callable price of a bond?,The callable price of a bond is the value at which the issuer can redeem the bond before its maturity date. It is typically slightly above the par value of the debt.
1323,How does the callable price of a bond change over time?,"The earlier in a bond's life span that it is called, the higher its call value will be. For example, a bond maturing in 2030 can be called in 2020, and it may show a callable price of 102. The bond may also stipulate that the early call price goes down to 101 after a year."
1324,What is a callable bond?,"A callable bond is a type of bond that allows the issuer to redeem the bond according to certain terms, usually before its maturity date."
1325,Are all bonds callable?,"No, not all bonds are callable. For example, Treasury bonds and Treasury notes are typically non-callable, although there are a few exceptions."
1326,What are the variations of callable bonds?,"Callable bonds come with many variations, including optional redemption, sinking fund redemption, extraordinary redemption, and call protection."
1327,What is optional redemption in callable bonds?,"Optional redemption allows the issuer to redeem its bonds according to the terms when the bond was issued, but not all bonds have this feature."
1328,What types of bonds are typically callable?,"Most municipal bonds and some corporate bonds are callable, and they often have call features that can be exercised after a set period such as 10 years."
1329,What is sinking fund redemption in callable bonds?,Sinking fund redemption requires the issuer to adhere to a set schedule while redeeming a portion or all of its debt. This helps the company save money over time and avoid a large lump-sum payment at maturity.
1330,What is extraordinary redemption in callable bonds?,"Extraordinary redemption allows the issuer to call its bonds before maturity if specific events occur, such as if the underlying funded project is damaged or destroyed."
1331,What is call protection in callable bonds?,"Call protection refers to the period when the bond cannot be called. The issuer must clarify whether a bond is callable and the exact terms of the call option, including when the timeframe when the bond can be called"
1332,What happens if market interest rates decline after a corporation floats a bond?,"The company can issue new debt, receiving a lower interest rate than the original callable bond, and use the proceeds to pay off the earlier callable bond by exercising the call feature, refinancing its debt by paying off the higher-yielding callable bonds with the newly-issued debt at a lower interest rate."
1333,How does paying down debt early by exercising callable bonds benefit a company?,It saves a company interest expense and prevents the company from being put in financial difficulties in the long term if economic or financial conditions worsen.
1334,Why might the investor not make out as well as the company when a callable bond is called?,The bondholder loses the remaining interest payments and might not be able to match the original coupon rate. This situation is known as reinvestment risk. The investor might choose to reinvest at a lower interest rate and lose potential income.
1335,Why might a callable bond not be appropriate for investors seeking stable income and predictable returns?,"Because the investor might pay a higher price for a lower yield if they want to purchase another bond, and callable bonds have reinvestment risk, meaning the investor might not be able to match the original coupon rate when the bond is called."
1336,What are some advantages of callable bonds?,"Callable bonds typically pay a higher coupon or interest rate to investors than non-callable bonds, and companies that issue these bonds benefit by being able to refinance their debt at a lower interest rate should the market interest rate fall."
1337,How do callable bonds benefit companies?,Callable bonds benefit companies by providing more flexibility than bank-based lending and allowing them to refinance their debt at a lower interest rate should the market interest rate fall.
1338,What is a disadvantage of callable bonds for investors?,One disadvantage of callable bonds for investors is that they may be exposed to replacing the investment at a rate that will not return the same level of income if the issuer calls the bond when interest rates fall.
1339,What happens to investors if market rates rise for callable bonds?,"If market rates rise for callable bonds, investors can fall behind when their funds are tied up in a product that pays a lower rate."
1340,What is a drawback for companies when issuing callable bonds?,"A drawback for companies when issuing callable bonds is that they must offer a higher coupon to attract investors, which increases the overall cost of taking on new projects or expansions."
1341,What is the difference between the bond market and stock market?,"The bond market is where investors buy and sell debt securities issued by corporations or governments, while the stock market is a place where investors go to trade equity securities (e.g., shares) issued by corporations."
1342,How are stocks and bonds traded differently?,"Stocks are typically traded on various exchanges, while bonds are mainly sold over the counter rather than in a centralized location."
1343,What are some examples of prominent stock exchanges in the United States?,The prominent stock exchanges in the United States include Nasdaq and the New York Stock Exchange (NYSE).
1344,Why is it important to have a well-diversified portfolio strategy before investing in stocks and bonds?,It is recommended to have a well-diversified portfolio strategy before investing in stocks and bonds in order to manage risk and increase potential returns.
1345,What is the bond market?,"The bond market is where investors buy and sell debt securities, mainly bonds issued by corporations or governments. It's also called the debt or credit market."
1346,How does buying a bond work?,"By buying a bond, credit, or debt security, an investor lends money for a set period and charges interest. It's the same way a bank charges interest to its debtors."
1347,What is the benefit of investing in bonds?,"Bonds provide investors with a steady, albeit nominal, source of regular income, making them a popular choice for saving for retirement, children's education, or other long-term needs."
1348,Where can investors get more information on bonds?,"Investors can use a range of research and analysis tools to get more information on bonds, including Investopedia, Yahoo! Finance's Bond Center, and Morningstar. They provide up-to-date data, news, analysis, and research. Investors can also get more specific details about bond offerings through their brokerage accounts."
1349,What is a mortgage bond?,"A mortgage bond is a type of security backed by pooled mortgages that pays interest to the holder monthly, quarterly, or semi-annually."
1350,What is the bond market?,"The bond market is a market where fixed-income securities, such as bonds, bills, and notes, are bought and sold."
1351,Is the bond market centralized?,"No, the bond market does not have a centralized location to trade. Bonds mainly sell over the counter (OTC)."
1352,Who participates in the bond market?,"Large institutional investors like pension funds, foundations, and endowments, as well as investment banks, hedge funds, and asset management firms typically participate in the bond market. Individual investors do not typically participate, but they can invest in bonds through a bond fund managed by an asset manager or through brokerages that offer access to corporate bond issues, Treasuries, munis, and CDs."
1353,How do issuers get the funding they need for projects or other expenses needed?,"Issuers provide fixed-income securities, such as bonds, bills, and notes, on the primary market to get the funding they need for projects or other expenses. Any subsequent trading takes place on the secondary market, where investors buy and sell securities they already own."
1354,How can investors without direct access to bond markets get access to bonds?,Investors without direct access to bond markets can still get access to bonds through bond-focused mutual funds and ETFs.
1355,Who are the main groups involved in the bond market?,"The three main groups involved in the bond market are issuers, underwriters, and participants."
1356,What is the role of issuers in the bond market?,"Issuers develop, register, and sell instruments on the bond market, such as corporations or different levels of government."
1357,What is the role of underwriters in the bond market?,Underwriters buy securities from the issuers and resell them for a profit. They usually evaluate risks in the financial world.
1358,What is the role of participants in the bond market?,"Participants buy and sell bonds and other related securities. By buying bonds, they issue a loan for the length of the security and receive interest in return."
1359,What is an investment grade for a bond?,An investment grade is a rating given by a bond rating agency like Standard & Poor's and Moody's that tells investors how much risk a bond has of defaulting.
1360,What does a bond rating tell investors?,"A bond rating tells investors how much risk a bond has of defaulting. Bonds with a high rating like ""AAA"" or ""A"" are considered to be high-quality, while those with a lower rating like ""BBB"" or lower are considered to be high-risk."
1361,What is a stock market?,A stock market is a place where investors can trade equity securities like common stocks and derivatives such as options and futures.
1362,What do investors do when they buy equity securities?,"When investors buy equity securities, they purchase a small ownership stake in a company."
1363,Why do equity holders buy small stakes in companies?,Equity holders buy small stakes in companies on the belief that the company performs well and the value of the shares purchased will increase.
1364,What is the primary function of the stock market?,"The primary function of the stock market is to bring buyers and sellers together into a fair, regulated, and controlled environment where they can execute their trades."
1365,What does the regulation of the stock market help with?,"The regulation of the stock market not only helps investors, but also the corporations whose securities are being traded."
1366,What is the primary market for equities?,"The primary market for equities is reserved for first-run equities, such as initial public offerings (IPOs)."
1367,Who sets the initial price for securities in the primary market?,The initial price for securities in the primary market is set by underwriters.
1368,Where does the most trading activity take place for equities?,The most trading activity for equities takes place on the secondary market.
1369,What are some prominent stock exchanges in the United States?,"The prominent stock exchanges in the United States include Nasdaq, New York Stock Exchange (NYSE), and American Stock Exchange (AMEX)."
1370,What types of companies are listed on Nasdaq?,"Nasdaq lists the securities of smaller capitalization companies from different parts of the world, including technology and financial stock, consumer goods and services, healthcare, and utilities."
1371,What is the basis of the U.S. technology sector benchmark index?,Nasdaq forms the basis of the U.S. technology sector benchmark index.
1372,What is the NYSE?,The NYSE is the largest exchange in the world based on the total market cap of its listed securities. Most of the oldest and largest publicly-traded companies are listed on the NYSE.
1373,What is the Dow Jones Industrial Average (DJIA)?,"Thirty of the largest companies on the NYSE make up the Dow Jones Industrial Average (DJIA), which is one of the oldest and most-watched indexes in the world."
1374,What is the AMEX?,"The AMEX, which was acquired by the NYSE Euronext and became the NYSE American in 2017, is an exchange that is home to mostly small-cap stocks."
1375,What was the AMEX first known for?,The AMEX was first known for trading and introducing new products and asset classes. The exchange was also the first to introduce an ETF.
1376,Which regulatory body oversees these markets?,These markets are regulated by the U.S. Securities and Exchange Commission (SEC).
1377,What is the major difference between the bond and stock markets?,The major difference between the bond and stock markets is that the stock market has central places or exchanges where stocks are bought and sold.
1378,What kind of risks are involved in investing in stocks?,"Investors in stocks may be exposed to risks such as country or geopolitical risk, currency risk, liquidity risk, and interest rate risks."
1379,What kind of risks are involved in investing in bonds?,"Bonds are susceptible to risks such as inflation and interest rates. When interest rates rise, bond prices tend to fall. Credit risk is also a concern if the bond issuer is not financially sound."
1380,How can investors track the performance of bond portfolios?,Bond indices like the Barclays Capital Aggregate Bond Index can help investors track the performance of bond portfolios.
1381,What indexes can be used to gauge stock market performance?,Stock market performance can be gauged using indexes such as the S&P 500 or Dow Jones Industrial Average.
1382,What are the major differences between equity and fixed-income markets?,"The major differences between equity and fixed-income markets are the types of securities traded, the accessibility of the markets, the levels of risk, the expected returns, the goals of investors, and the strategies used by market participants."
1383,What types of securities are traded in equity markets?,Stock trading dominates equity markets.
1384,What types of securities are traded in fixed-income markets?,Bonds are the most common securities in fixed-income markets.
1385,Do individual investors have better access to equity or fixed-income markets?,Individual investors often have better access to equity markets than fixed-income markets.
1386,Are equity markets or fixed-income markets riskier?,"Equity markets offer higher expected returns than fixed-income markets, but they also carry higher risk."
1387,What are the goals of investors in equity markets?,Equity market investors are typically more interested in capital appreciation and pursue more aggressive strategies than fixed-income market investors.
1388,Are strategies in fixed-income markets more or less varied than in equity markets?,"Due to the lower risks and rewards, strategies are often far less varied in fixed-income markets than equity markets."
1389,How have exchange traded funds (ETFs) transformed equity and fixed-income markets?,The growth of exchange traded funds (ETFs) has transformed equity and fixed-income markets while blurring the lines between them.
1390,What are equity markets?,"Equity markets are where investors buy and sell stocks on regular trading exchanges, obtaining partial ownership of corporations."
1391,How do equity markets differ from bonds?,"Equity markets involve partial ownership of corporations, while bonds are solely interest-earning investments."
1392,What are some well-known equity markets?,The Nasdaq and the New York Stock Exchange (NYSE) are among the best-known equity markets.
1393,Are equity markets volatile?,"Yes, all stock markets, no matter the type, can be volatile and experience significant price highs and lows."
1394,How do retail investors typically buy and sell stocks in equity markets?,"Retail investors are comfortable buying and selling stocks in equity markets, and many brokerages charge low or no fees for trading them."
1395,Are high-priced stocks available to small investors in equity markets?,"Yes, brokerages offer ways to trade fractional shares, so high-priced stocks are available to small investors."
1396,What are some common strategies used in equity markets?,Some common strategies used in equity markets are growth investing and value investing.
1397,What is required to be successful in equity markets?,A high degree of success in equity markets usually requires greater amounts of research and follow-up on investments than is necessary for fixed-income investments.
1398,What are some approaches to trading in equity markets?,"There are widely divergent approaches to trading in equity markets, from high-frequency trading to buy and hold."
1399,How do some traders in equity markets enhance gains?,Some traders in equity markets try to enhance gains by using leverage.
1400,How do some traders in equity markets reduce risks?,Some traders in equity markets try to reduce risks by hedging.
1401,What is the fixed-income market?,"The fixed-income market, also known as the debt securities market or the bond market, consists of bond securities issued by the federal government, corporate bonds, municipal bonds, and mortgage debt instruments."
1402,Why is the fixed-income market referred to as a capital market?,The fixed-income market is referred to as a capital market because it provides capital financing for long-term investments.
1403,How are debt security investments perceived in comparison to equity investments?,"Debt security investments are generally seen as less risky than equity investments, which means they typically offer lower potential returns."
1404,Where were debt security investments traditionally traded?,Debt security investments were traditionally traded over-the-counter (OTC) instead of being centrally traded on exchanges.
1405,How are fixed-income securities often issued?,"Fixed-income securities are often issued at auctions, such as the U.S. Treasury department's bill auctions."
1406,What is TreasuryDirect?,TreasuryDirect is the only way that most investors directly access the fixed-income market.
1407,What is a common way to access corporate bonds in fixed-income markets?,Mutual funds are a far more common way to access corporate bonds in fixed-income markets than participating in the over-the-counter market.
1408,Why are strategies often less varied in fixed-income markets than equity markets?,"Due to the lower risks and rewards, strategies are often far less varied in fixed-income markets than equity markets."
1409,What is the usual goal in fixed-income markets?,The usual goal in fixed-income markets is to assure the safety of principal by purchasing only bonds with an investment-grade credit rating.
1410,Is capital appreciation possible in fixed-income markets?,"Yes, capital appreciation is also possible under specific scenarios. For instance, the prices of zero-coupon U.S. Treasury bonds can move up substantially as interest rates fall, and when distressed credit markets clear up, fallen angels sometimes return to investment-grade status and experience significant price gains in the process."
1411,How have ETFs transformed equity and fixed-income markets?,The growth of exchange traded funds (ETFs) has transformed equity and fixed-income markets by blurring the lines between them.
1412,What securities can ETFs hold?,ETFs may hold any combination of stocks or bonds.
1413,Where do ETFs trade?,ETFs trade on stock exchanges.
1414,Why are ETFs accessible to all investors?,"ETFs often have reasonable prices, below $100 per share, so they are accessible to all investors."
1415,Why are ETFs more important for bonds?,ETFs are more important for bonds because many small investors could not trade them so easily before.
1416,What benefits do investors achieve with ETFs?,"With ETFs, investors achieve instant diversification and can often determine the quality of securities by merely looking at the label."
1417,How can investors earn more income with ETFs?,An investment-grade bond ETF would be an easy way for investors to earn more income than in a savings account with limited risk.
1418,What benefits do ETFs offer for stocks?,"For stocks, ETFs offer a substantial reduction in idiosyncratic risk and easier access to foreign markets."
1419,"What are some investment vehicles that are considered ""safe"" for storing savings?","Some investment vehicles touted as ""safe"" for storing savings include cash and bonds."
1420,Why do many people feel that cash is the safest investment option?,"Many people feel that cash is the safest investment option because they know exactly where their money is, such as safely stowed away in a federally insured checking or savings account."
1421,What is the risk associated with holding cash?,"The risk associated with holding cash is that inflation can potentially render today's dollars significantly less valuable down the road. Also, cash does not earn any return in and of itself, so its buying power can erode over time, and there is an opportunity cost as it forgoes potentially better investments."
1422,Why are bonds considered one of the safest investments available?,Bonds are considered one of the safest investments available because they guarantee the return of principal while still generating periodic interest payments.
1423,What are some advantages of investing in bonds?,"Investing in bonds provides interest income that often meets or exceeds the rate of inflation, and with the potential for capital gains if bought at a discount."
1424,What are some risks associated with investing in bonds?,Some risks associated with investing in bonds include the potential for the underlying issuer to go bankrupt and the possibility of losing value if interest rates rise.
1425,What is the primary benefit of keeping your money in cash?,The primary benefit of keeping your money in cash is maintaining complete control over your funds.
1426,How can you easily review your balance and transaction history if you deposit your cash into a bank or savings account?,You can easily review your balance and transaction history with the click of a button.
1427,Are checking and savings accounts at almost any bank insured through the Federal Deposit Insurance Corporation (FDIC)?,"Yes, checking and savings accounts at almost any bank are insured through the FDIC for up to $250,000."
1428,Are federal- and state-chartered credit unions insured as well?,"Yes, accounts at federal- and state-chartered credit unions are insured up to $250,000 through the National Credit Union Administration (NCUA)."
1429,"What should you do if your savings exceed the $250,000 insurance limit?","If your savings exceed the $250,000 insurance limit, you can ensure all your deposits by opening multiple accounts at different institutions."
1430,What is another advantage of keeping cash?,"Another advantage of keeping cash is it provides ultimate flexibility in times of stress, ensuring that you have the money whenever you need it."
1431,Why might investing put your funds at significant risk?,"Investing offers the possibility for profits, but it can also put your funds at significant risk, meaning you may not have the money you need on short notice."
1432,What is the biggest risk of holding cash?,"The biggest risk of holding cash is the risk of inflation. If interest rates rise, the money you have now may have significantly less buying power in the future."
1433,How do most investors avoid the risk of inflation when holding cash?,"Most investors allocate much of their cash holdings to cash-equivalent money market accounts or mutual funds, which generate a modest amount of interest that can be enough to offset the effects of inflation over time."
1434,"What is opportunity cost, and how does it relate to holding cash?","Opportunity cost refers to the forfeiture of potential profits that could have been generated had you used your money in a different way. Holding cash effectively generates zero profit, which means that the opportunity cost of this strategy can be quite high."
1435,"What is cash drag, and how does it impact a portfolio?","Cash drag is the term used to describe the significant opportunity cost of holding cash in a portfolio. Given all the different investments available that generate guaranteed income, such as bonds and certificates of deposit (CDs), holding cash means you might be giving up the opportunity to reap significant returns."
1436,How do rising interest rates affect both cash and bonds?,"Rising interest rates can sap the buying power of cash and lower the value of bonds. Therefore, both cash and bonds are vulnerable to the negative effects of rising interest rates."
1437,What is a bond?,A bond is a debt instrument issued by governments and corporations that guarantees a set amount of interest each year.
1438,What is the benefit of investing in bonds?,Investing in bonds offers the benefit of consistent investment income.
1439,How do bondholders receive income?,"Bondholders receive income through monthly, quarterly, semi-annual, or annual coupon payments equal to a set percentage of the bond's par value."
1440,What happens when a bond matures?,"When a bond matures, the issuing entity pays the bondholder the par value of the bond regardless of its original purchase price."
1441,What risks do bonds carry?,Bonds carry varying degrees of risk depending on their maturities and the credit rating of the issuing entity.
1442,Why are bonds issued by the U.S. Treasury considered safe?,"In times of economic instability, bonds and other debt instruments issued by the U.S. Treasury are considered extremely safe because the risk of the U.S. government defaulting on its financial obligations is minimal."
1443,Are bonds issued by highly rated U.S. corporations typically low-risk investments?,"Yes, bonds issued by very highly rated U.S. corporations are typically very low-risk investments."
1444,Are bonds issued by state and local governments subject to federal income taxes?,"No, bonds issued by state and local governments are typically not subject to federal income taxes, making them one of the more tax-efficient investments available."
1445,What is the difference between bonds and cash?,Bonds are investments while cash is simply money itself.
1446,What is the primary risk of bond investing?,"The primary risk of bond investing is that your investment loses value, and you may lose some or all of your investment if an issuing entity defaults."
1447,Do bondholders have a higher claim on company assets than stockholders?,"Yes, bondholders have a higher claim on company assets than stockholders."
1448,What is the likelihood of receiving the full value of your bond after a company declares bankruptcy?,"The likelihood of receiving the full value of your bond after a company declares bankruptcy is low since it likely must first pay off its loans, mortgages and other debts."
1449,Why may your bond lose value?,"Your bond may lose value if rising interest rates render it worthless on the secondary market, or if new bonds are issued with higher coupon rates, the market value of your bond declines."
1450,Is any investment in bonds insured?,"No, any investment in bonds is uninsured, just like stocks or mutual funds."
1451,Can you recoup your losses on bond investments?,"If you lose money on bond investments, there is no way to recoup your losses. However, you can largely mitigate this risk by investing in highly rated bonds and holding them until maturity."
1452,What are money market funds and short-term bonds?,"Money market funds and short-term bonds are both savings vehicles that are liquid, easily accessible, and relatively safe securities on a short-term basis."
1453,What are some similarities between money market funds and short-term bonds?,"Both money market funds and short-term bonds are excellent savings vehicles, are liquid, easily accessible, and relatively safe securities."
1454,What are some differences between money market funds and short-term bonds?,"Money market funds specialize in short-term government debt securities that mature in less than one year, while short-term bonds involve buying a bond, which means giving the issuer a loan for a set duration. Money markets are extremely low-risk, with a par value of $1.00 typically. Meanwhile, short-term bonds carry a greater degree of risk depending on the issuer, which may be a company, government, or agency."
1455,What are the risks associated with money market funds and short-term bonds?,"Both money market funds and short-term bonds can involve fees and may lose value, which might decrease a person's purchasing power. Short-term bonds carry a greater degree of risk depending on the issuer, which may be a company, government, or agency."
1456,How do money market funds and short-term bonds differ in terms of interest rates?,"Money market funds and short-term bonds pay predetermined interest rates at set intervals until the bond matures. However, short-term bonds may offer higher interest rates depending on the issuer's creditworthiness."
1457,What is the money market?,The money market is a part of the fixed-income market that specializes in short-term debt securities that mature in less than one year.
1458,What is the typical maturity date for most money market investments?,Most money market investments often mature in three months or less.
1459,Who issues money market securities?,"Money market securities are issued by governments, financial institutions, and large corporations as promises to repay debts."
1460,Are money market securities considered safe and conservative?,"Yes, money market securities are considered extremely safe and conservative, especially during volatile times."
1461,How can investors access the money market?,Access to the money market is typically obtained through money market mutual funds or a money market bank account.
1462,How are money market securities purchased?,The assets of thousands of investors are pooled to buy money market securities on the investors’ behalf.
1463,What is the minimum balance requirement for a money market account?,A minimum balance is typically required for a money market account.
1464,Is the yield for money market securities stable?,"The net asset value (NAV) typically stays around $1 per share, so only the yield fluctuates."
1465,Why do lower returns occur in the money market?,"Because of the liquidity of the money market, lower returns are realized when compared to other investments."
1466,Are money market shares guaranteed by the FDIC or NCUA?,"Unless an account is opened at a bank or credit union, shares are not guaranteed by the Federal Deposit Insurance Corporation (FDIC), National Credit Union Administration (NCUA), or any other agency."
1467,What is a bond?,A bond is a promise made by a government or corporation to pay back money borrowed to finance specific projects and activities.
1468,How do bonds work?,"Buying a bond means giving the issuer a loan for a set duration. The issuer pays a predetermined interest rate at set intervals until the bond matures. At maturity, the issuer pays the bond’s face value."
1469,What is the difference between bonds and money market securities?,"Bonds and money market securities are similar, but bonds are issued for specific projects and activities that require more money than the average bank can provide."
1470,How can you buy bonds?,Most bonds can be bought through a full service or discount brokerage. Government agencies sell government bonds online and deposit payments electronically.
1471,What are short-term bonds?,"Short-term bonds are bonds that have a quicker maturity rate, and they offer a higher potential yield than money market funds."
1472,What are the benefits of investing in short-term bonds?,"Short-term bonds can provide relatively low-risk, predictable income and stronger returns compared to money markets. Some bonds even come tax-free."
1473,What is the risk of investing in bonds?,"Bonds carry more risk than money market funds. The lender may not be able to make interest or principal payments on time, or the bond may be paid off early with the remaining interest payments lost. If interest rates go up, the bond owner could lose money."
1474,How are bonds affected by interest rates?,"If interest rates go down, the bond may be called, paid off, and reissued at a lower rate, resulting in lost income for the bond owner. If interest rates go up, the bond owner could lose money, in the sense of opportunity cost, by having the money tied up in the bond rather than invested elsewhere."
1475,What are the pros and cons of investing in money market funds and short-term bonds?,"Money market accounts are stable and offer readily available funds for emergencies. Short-term bonds yield higher interest rates, making them potentially more profitable over time."
1476,Why are money market accounts good for emergency funds?,"Money market accounts are excellent for emergency funds because account values typically remain stable or slightly increase in value, and funds are readily available when needed."
1477,What discourages removing funds from money market accounts?,Limited transactions discourage removing funds from money market accounts.
1478,Why are short-term bonds potentially more profitable than money market funds?,"Short-term bonds typically yield higher interest rates than money market funds, making them potentially more profitable over time."
1479,"Overall, which is a better investment: money market funds or short-term bonds?","According to the text, short-term bonds appear to be a better investment than money market funds."
1480,How are bonds traded in the secondary market?,"Bonds are traded between investors in the secondary market, over the counter (OTC), unlike stocks which are traded on exchanges."
1481,Why are most bonds traded OTC instead of on exchanges?,"Most bonds are traded OTC because of their diversity. Each issuer will have several bonds offered, with different maturity, coupon, nominal value, and credit rating."
1482,How do investors arrange the purchase and sale of bonds in the secondary market?,"Since bonds are not listed on major exchanges, investors must look to their brokers to arrange the purchase and sale of bonds in many cases."
1483,What are the key differences between trading bonds over the counter (OTC) and on exchanges?,"OTC markets tend to be less regulated, less transparent, and less liquid than exchange-traded securities, which increases transaction and counterparty risk."
1484,What are the two primary types of stocks?,The two primary types of stocks are common stock and preferred stock.
1485,Why is it difficult to trade bonds on exchanges?,"Bonds have different qualities, maturities, and yields, which result in more issuers and issues of bonds with different characteristics, making it difficult for bonds to be traded on exchanges. Additionally, the difficulty in listing current prices is another reason why bonds are traded over the counter."
1486,What factors affect stock prices?,"Stock prices are affected by news events, the P/E ratio of a company, and ultimately, the supply and demand of shares, which are reflected in the daily stock price."
1487,What factors affect bond prices?,Bond prices are affected by changing interest rates and credit ratings.
1488,Why is it challenging to list current prices for a particular bond issue?,"Since trade time between issues can last weeks or even months, it is difficult to list current prices for a particular bond issue, making it challenging to trade bonds on the stock market."
1489,What are corporate bonds?,Corporate bonds are issued by firms to raise capital to fund various expenditures. They provide higher yields than government-issued bonds but come with higher risk.
1490,Why are corporate bonds attractive to investors?,Corporate bonds are attractive to investors because they provide much higher yields than bonds issued by the government.
1491,What is OTC trading?,"OTC trading refers to the buying and selling of financial instruments directly between two parties, outside of a formal exchange."
1492,What bonds are commonly traded OTC?,Most corporate bonds issued by private and public corporations are traded OTC rather than listed on exchanges.
1493,What is liquidity?,Liquidity refers to the degree to which an asset or security can be bought or sold in the market without affecting its price.
1494,Why are corporate bonds traded OTC?,"Corporate bonds are traded OTC because they vary in the degree of liquidity that they enjoy, and many transactions involving exchange-traded bonds are done through OTC markets."
1495,What risks are associated with investing in corporate bonds?,"Major risks associated with investing in corporate bonds include credit risk and call risk. Credit risk can arise when an issuer is unable to maintain payments on the bond or if a rating corporation lowers the credit rating of the issuer. Call risk occurs when an issuer redeems the issue before maturity, leaving the investor with less favorable investing possibilities."
1496,Who typically invests in corporate bonds?,"Investment in corporate bonds comes primarily from pension funds, mutual funds, banks, insurance companies, and individual investors."
1497,Why are OTC transactions considered controversial?,"OTC transactions are considered controversial because they are not overseen or subject to the rules of major exchanges, and concerns about counterparty risk grew following the financial crisis of 2007-2009, when credit-default swaps in the derivatives market received much of the blame for massive losses in the financial sector."
